Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev
soundtouch,Archana,,N,N,Y,Y,N,N,,P0,NA,N
sox,,,N,N,Y,Y,N,N,,,NA,N
soxr,,,N,N,Y,Y,N,N,,,NA,N
sparsehash,,,N,N,Y,Y,N,N,,,NA,N
spausedd,Archana,,N,N,Y,Y,N,N,,P0,NA,N
speex,,,N,N,Y,Y,N,N,,,NA,N
speexdsp,Archana,,N,N,Y,Y,N,N,,P0,NA,N
spice-protocol,Archana,,N,N,Y,Y,N,N,,P0,NA,N
spice-vdagent,,,N,N,Y,Y,N,N,,,NA,N
spirv-headers,,,N,N,Y,N,N,Y,,,NA,N
spirv-tools,,,N,N,Y,N,N,Y,,,NA,N
splix,,,N,N,Y,Y,N,N,,,NA,N
squid,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N
sratom,Jyoti,,N,N,Y,Y,N,N,,,NA,N
star,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
startup-notification,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
stunnel,,,N,N,Y,Y,N,N,,,NA,N
subscription-manager,Jagadeesh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
suitesparse,,,N,N,Y,Y,N,N,,,NA,N
switcheroo-control,,,N,N,Y,Y,N,N,,,NA,N
sysfsutils,,,N,N,Y,N,N,Y,,,NA,N
systemd-bootchart,Jyoti,,N,N,Y,Y,N,N,,CP_batch1,NA,N
t1lib,,,N,N,Y,Y,N,N,,,NA,N
t1utils,,,N,N,Y,Y,N,N,,,NA,N
taglib,Archana,,N,N,Y,Y,N,N,,P0,NA,N
tang,,,N,N,Y,Y,N,N,,,NA,N
targetcli,Archana,,N,N,Y,Y,N,N,,P0,NA,N
tbb,Mayank,,N,N,Y,Y,N,N,,CP_batch1,NA,N
tcl-pgtcl,,,N,N,Y,Y,N,N,,,NA,N
tclx,,,N,N,Y,Y,N,N,,,NA,N
teckit,Archana,,N,N,Y,Y,N,N,,P0,NA,N
telnet,,,N,N,Y,Y,N,N,,,NA,N
tix,,,N,N,Y,Y,N,N,,,NA,N
tk,Archana,,N,N,Y,Y,N,N,,New P0,NA,N
tlog,Archana,,N,N,Y,Y,N,N,,New P0,NA,N
